明博教育科技股份有限公司,&北京市海淀区上地三街9号C座801、802、803室,&来自年报=haidan@mainbo.com&年报邮箱=lijie@mainbo.com,&来自年报=82781868
明基电通有限公司,&上海市长宁区淞虹路207号D栋八楼,&年报邮箱=linay.li@benq.com,&李建军=18925185218&来自年报=021-33600022
权健自然医学科技发展有限公司,&天津市武清区豆张庄镇权健道1号,&来自年报=1617450883@qq.com&来自年报=bestlovechaoforeve@qq.com,&陈洪=13413061905&来自年报=022-22201111
一统安易（北京）科技有限公司,&北京市海淀区北三环西路48号院3号楼20A,&王录=wl1280456894@163.com&年报邮箱=zhangchunping0305@163.com,"&来自年报=13810293524&来自年报=13810293524&年报电话,更新时间2017年=13701246295"
北京美力三生科技有限公司,&北京市朝阳区建国门外大街2号院4号楼5层501-04单元,&年报邮箱=ZhongHua.Wang@ilife3.com,"&年报电话,更新时间2017年=unkonwn"
索尼（中国）有限公司,&北京市朝阳区太阳宫中路12号楼冠城大厦701,&年报邮箱=bo.zhu@sony.com,"&年报电话,更新时间2017年=unkonwn"
中成伟业（北京）酒店管理有限公司,&北京市昌平区回龙观镇三拨子村(北京工艺美术职业技术学校)8号楼3层,&来自年报=2850961989@qq.com&年报邮箱=18910908211@126.com,&来自年报=unkonwn&皮丕兵=unkonwn
山东梦金园珠宝首饰有限公司,&昌乐县经济技术开发区,&来自年报=huangtao@mokingran.com&年报邮箱=977822407@qq.com,"&来自年报=unkonwn&年报电话,更新时间2017年=unkonwn"
杭州市城市建设发展有限公司,&浙江省杭州市江干区四季青街道新塘路33-35三新大厦12、13层,&年报邮箱=postmaster@hzmcd.com,"&年报电话,更新时间2017年=unkonwn"
北京金源诗琴机电设备有限公司,&北京市昌平区东小口镇店上村35号,&年报邮箱=liyafeng82@126.com,"&年报电话,更新时间2017年=unkonwn"
柳州市正欣文化传播有限公司,&柳州市飞鹅二路1号谷埠街国际商城K2栋13-9号,&来自年报=639013550@qq.com,&来自年报=unkonwn&敬洪波=unkonwn
深圳市分享爱文化产业有限公司,&深圳市龙华新区民塘路书香门第名苑4栋701,&年报邮箱=756554738@qq.com,"&年报电话,更新时间2016年=unkonwn"
长沙知行道企业管理有限公司,&长沙市天心区水竹街1号香墅美地家园1号栋821房,,"&年报电话,更新时间2016年=unkonwn"
深圳市前海智媒网络科技有限公司,&深圳市南山区科园路深圳湾创业投资大厦1701,&来自年报=lumin@zhimei360.com&来自年报=401069560@qq.com,&杨凡=unkonwn&来自年报=unkonwn&来自年报=unkonwn
北京车之家信息技术有限公司,&北京市海淀区丹棱街3号B座10层1011-1015,&Bosco=zhoujianhao@autohome.com.cn&年报邮箱=marketing@autohome.com.cn,"&Bosco=unkonwn&年报电话,更新时间2017年=unkonwn"
上海行动者企业管理股份有限公司,&上海市黄浦区普育西路105号4号楼6楼,&年报邮箱=wangxiaojun@experience.com.cn,&unname0=unkonwn
